"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.florianpoupin.com/unregardpourleternite","text/html; charset=UTF-8","200","OK","Indexable","","Un Regard pour l'Eternite - AYNI PRODUCTIONS | Florian Poupin","61","559","Documentaires​/  ​​Un voyage intime de l'autre et de soi.

 

Une traversée grandiose sur les sentiers du monde à la rencontre de personnes à la vie proche de la nature et hors de conventions.

 

Un face-à-face singulier, de ses hommes et de ses femmes portant en eux l’espoir d’un instant d’éternité.","302","1792","","0","","0","","0","","0","","","","https://www.florianpoupin.com/unregardpourleternite","","","","","","842906","188996","188996","72.401","","57","8","7.125","94.224","Very Easy","0.097","2","0","","1","1","0","3.570","19","17","0","12","7","0","","","","","6dd68f85ea6f2756df96b8ae519d401e","1.304","","","","","fr","1.1","","","","","","https://www.florianpoupin.com/unregardpourleternite","2026-03-14 11:01:01"
"https://www.florianpoupin.com/_files/ugd/ddb58e_aba520d2d8474640a112449ad257cb39.pdf","application/pdf","200","OK","Non-Indexable","noindex","AYNI","4","45","","0","0","DAF4WuuZY-I,BAFx4SHAzFo,0","25","","0","","0","","0","","noindex, nofollow","","","","","","","","17955458","17955458","17955458","6878.395","","0","","","","","0.000","1","2","","42","28","0","100.000","0","0","0","0","0","0","","","","","","0.650","Sat, 15 Nov 2025 12:35:22 GMT","","","","","1.1","","","","","","https://www.florianpoupin.com/_files/ugd/ddb58e_aba520d2d8474640a112449ad257cb39.pdf","2026-03-14 11:00:57"
"https://www.florianpoupin.com/_files/ugd/ddb58e_ff179eb5c1b940479781c9355ed36af5.pdf","application/pdf","200","OK","Non-Indexable","noindex","AYNI Productions","16","157","","0","0","DAG4lwh_dWs,BAFx4SHAzFo,0","25","","0","","0","","0","","noindex, nofollow","","","","","","","","4650210","4650210","4650210","1781.407","","0","","","","","0.000","2","2","","1","1","0","3.570","0","0","0","0","0","0","","","","","","0.665","Thu, 13 Nov 2025 16:39:15 GMT","","","","","1.1","","","","","","https://www.florianpoupin.com/_files/ugd/ddb58e_ff179eb5c1b940479781c9355ed36af5.pdf","2026-03-14 11:01:01"
"https://www.florianpoupin.com/surlessentiersdumonde","text/html; charset=UTF-8","200","OK","Indexable","","Sur les Sentiers du Monde - AYNI | Florian Poupin","49","433","Laissez-vous emporter par les récits de ses voyageurs et partez à la rencontre d’émotions profondes.","100","624","","0","","0","","0","","0","","","","https://www.florianpoupin.com/surlessentiersdumonde","","","","","","851168","194610","194610","74.551","","119","17","7.000","85.271","Easy","0.142","2","0","","1","1","0","3.570","21","17","0","10","7","0","","","","","e2a5d768dd6f200f547786dd3c4b3c1d","0.442","","","","","fr","1.1","","","","","","https://www.florianpoupin.com/surlessentiersdumonde","2026-03-14 11:01:02"
"https://www.florianpoupin.com/lesecretdesetoiles","text/html; charset=UTF-8","200","OK","Indexable","","Le Secret des Etoiles -  AYNI | Florian Poupin","46","385","Le Secret des Étoiles, c’est chuchoter avec l’éternité et contempler ce qu'il y a de plus grand:
Soi-même.","106","637","","0","","0","","0","","0","","","","https://www.florianpoupin.com/lesecretdesetoiles","","","","","","852508","195000","195000","74.701","","119","18","6.611","74.291","Fairly Easy","0.144","2","0","","1","1","0","3.570","21","17","0","10","7","0","","","","","7164bff201a5fb4b263e37aaf7006412","1.395","","","","","fr","1.1","","","","","","https://www.florianpoupin.com/lesecretdesetoiles","2026-03-14 11:01:02"
"https://www.florianpoupin.com/aucoeurdesanature","text/html; charset=UTF-8","200","OK","Indexable","","Au Cœur de sa Nature - AYNI | Florian Poupin","44","397","Qui sommes-nous?

 

C’est dans cette démarche que ce cercle mixte est proposée.

 

Voyager dans un espace de bienveillance, de respect et d’écoute pour se relier à la terre, à l’univers; à soi et aux autres.

 

Et qu’enfin, vibrent les cœurs où la reliance n’a d'égale que la création.

 

Être là, présent dans une unité partagée où la force réside dans l’Amour.

 

 

Alors, entrez au cœur de votre nature.","412","2352","","0","","0","","0","","0","","","","https://www.florianpoupin.com/aucoeurdesanature","","","","","","853404","194987","194987","74.696","","103","13","7.923","89.552","Easy","0.128","2","0","","1","1","0","3.570","21","17","0","10","7","0","","","","","c113153322456d288903645e7d3d2899","1.508","","","","","fr","1.1","","","","","","https://www.florianpoupin.com/aucoeurdesanature","2026-03-14 11:01:03"
"https://www.florianpoupin.com/luxanima","text/html; charset=UTF-8","200","OK","Indexable","","Lux Anima - AYNI | Florian Poupin","33","295","À la nuit tombée, les âmes se mêlent et la musique retentie.

 

C’est alors le commencement d’une soirée étoilée pleine de poésie où chacun, par son art,

fait vibrer les âmes.

 

Un chant de grâce où autour du feu, la symbiose prends place.

Contes, musique, chant, danse, peinture, ou encore, arts de rue, etc.

La Magie d’un instant de Bohème","347","2069","","0","","0","","0","","0","","","","https://www.florianpoupin.com/luxanima","","","","","","853228","194966","194966","74.688","","100","14","7.143","91.297","Very Easy","0.125","2","0","","1","1","0","3.570","21","17","0","10","7","0","","","","","838f027df94e241f247d8244dab5a3","1.228","","","","","fr","1.1","","","","","","https://www.florianpoupin.com/luxanima","2026-03-14 11:01:03"
"https://www.florianpoupin.com/lesamesfunambules","text/html; charset=UTF-8","200","OK","Indexable","","Les Âmes Funambules - AYNI | Florian Poupin","43","403","Ici, se côtoie la grandeur vibratoire de la musique, du chant, de la danse et encore de la peinture et de la poésie.

 

Un appel sincère à la rencontre de soi, mêlé d’échanges profonds.

 

Venez partager et transmettre vos connaissances dans des ateliers intuitifs mêlant la thérapie et la création.","301","1766","","0","","0","","0","","0","","","","https://www.florianpoupin.com/lesamesfunambules","","","","","","853492","195162","195162","74.763","","135","17","7.941","80.961","Easy","0.154","2","0","","1","1","0","3.570","21","17","0","10","7","0","","","","","cb8c30a8fe5fbb4ef43d7a1a2b4a2287","1.460","","","","","fr","1.1","","","","","","https://www.florianpoupin.com/lesamesfunambules","2026-03-14 11:01:03"
"https://www.florianpoupin.com/origineslemondearcenciel","text/html; charset=UTF-8","200","OK","Indexable","","Origines, Le Monde Arc-en-Ciel - AYNI | Florian Poupin","54","473","Le pouvoir de notre identité liée à la terre, mais également liée à nos ancêtres.

 

Connaitre notre passé sans qu’il ne nous épuise. Casser les schémas, recoller les morceaux de notre histoire pour appréhender au mieux la vie.

 

Un moment de partage et de compréhension sur notre enracinement et notre déracinement.

Ce pourquoi nous somme ici en ce monde.","360","2207","","0","","0","","0","","0","","","","https://www.florianpoupin.com/origineslemondearcenciel","","","","","","854412","195267","195267","74.803","","140","22","6.364","74.080","Fairly Easy","0.163","2","0","","1","1","0","3.570","21","17","0","10","7","0","","","","","c14d2a9be83b1d17b15677bd5fc955f2","1.400","","","","","fr","1.1","","","","","","https://www.florianpoupin.com/origineslemondearcenciel","2026-03-14 11:01:04"
"https://florianpoupin.com/","","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","0","","1","1","0","3.570","0","0","0","0","0","0","","","","","","0.134","","https://www.florianpoupin.com/","HTTP Redirect","","","1.1","","","","","","https://florianpoupin.com/","2026-03-14 11:01:07"
"https://www.florianpoupin.com/_files/ugd/ddb58e_4fbc28fe7bc84c9494cb48be228f985a.pdf","application/pdf","200","OK","Non-Indexable","noindex","Dossier Florian Poupin  Enseignement et Accompagnement Equestre ST","66","635","","0","0","DAG2CZ_86CQ,BAFx4SHAzFo,0","25","","0","","0","","0","","noindex, nofollow","","","","","","","","3769467","3769467","3769467","1444.011","","0","","","","","0.000","2","2","","5","1","0","3.570","0","0","0","0","0","0","","","","","","0.608","Mon, 02 Mar 2026 18:14:21 GMT","","","","","1.1","","","","","","https://www.florianpoupin.com/_files/ugd/ddb58e_4fbc28fe7bc84c9494cb48be228f985a.pdf","2026-03-14 11:01:07"
"https://www.florianpoupin.com/rendezvousinattendu","text/html; charset=UTF-8","200","OK","Indexable","","Rendez-Vous Inattendu - AYNI | Florian Poupin","45","408","Partez dans la nature avec Florian afin de retrouver votre puissance intérieure","79","477","","0","","0","Réservez votre Aventure dès maintenant","38","","0","","","","https://www.florianpoupin.com/rendezvousinattendu","","","","","","854150","195175","195175","74.768","","160","22","7.273","76.783","Fairly Easy","0.173","2","0","","1","1","0","3.570","21","17","0","9","6","0","","","","","4cb713c380dd805e6d6e6937be1b3a57","1.685","","","","","fr","1.1","","","","","","https://www.florianpoupin.com/rendezvousinattendu","2026-03-14 11:01:07"
"https://www.florianpoupin.com/_files/ugd/ddb58e_aba520d2d8474640a112449ad257cb39.pdf?index=true","application/pdf","200","OK","Indexable","","AYNI","4","45","","0","0","DAF4WuuZY-I,BAFx4SHAzFo,0","25","","0","","0","","0","","","","","","","","","","17955458","17955458","17955458","6878.395","","0","","","","","0.000","2","2","","1","1","0","3.570","0","0","0","0","0","0","","","","","","0.540","Sat, 15 Nov 2025 12:35:22 GMT","","","","","1.1","","","","","","https://www.florianpoupin.com/_files/ugd/ddb58e_aba520d2d8474640a112449ad257cb39.pdf?index=true","2026-03-14 11:01:06"
